model,n_pairs,mean_few,mean_zero,mean_diff_few_minus_zero,t_stat,p_t_approx,w_stat,p_wilcoxon
Chat-GPT,100,0.4785149000000001,0.43,0.04851490000000001,1.720755963003294,0.08841911098885921,675.0,0.1108384031400482
Claude,100,0.7170855399999999,0.7004697299999999,0.016615809999999998,0.918997090748239,0.3603307828951543,949.5,0.22836171855959164
DeepSeek-R1,100,0.07238246,0.12181849,-0.049436030000000006,-2.5509427310214328,0.012274392807043748,225.5,0.012503418748932797
Gemini,100,0.6833808600000001,0.67375,0.009630860000000002,0.33687448065617154,0.7369246193600136,1601.5,0.9278966767204485
Llama 3.1: 8B,100,0.16364127,0.24955147,-0.0859102,-2.068793362931742,0.0411714904162555,1654.5,0.023200364892866275
Sailor2,100,0.01983707,0.06985187000000001,-0.0500148,-2.882917473557597,0.004833292282015285,71.5,0.004660911675666584
