model,n_pairs,mean_zero,mean_few,mean_difference_few_minus_zero,sd_difference,p_value_permutation,n_perm,alternative,pair_id,score
Chat-GPT,10,0.35,0.4551172,0.1051172,0.334054106766088,0.3697260547890422,5000,two-sided,id_data_asli,xrasa_final
Claude,10,0.775,0.7375,-0.0375,0.23607025790358824,0.8344331133773245,5000,two-sided,id_data_asli,xrasa_final
DeepSeek-R1,5,0.2,0.05,-0.15,0.2053959590644373,0.48530293941211755,5000,two-sided,id_data_asli,xrasa_final
Gemini,7,0.6607142857142857,0.7321428571428571,0.07142857142857142,0.31339158526400435,0.9370125974805039,5000,two-sided,id_data_asli,xrasa_final
Llama 3.1: 8B,7,0.27516742857142856,0.08928571428571429,-0.1858817142857143,0.39903706837908104,0.3809238152369526,5000,two-sided,id_data_asli,xrasa_final
Sailor2,8,0.20614175,0.027317124999999998,-0.17882462500000001,0.24390711166749965,0.129374125174965,5000,two-sided,id_data_asli,xrasa_final
